CAS,CAS.y,Substance,Chem.Group,Type,Approved,Approval.Exp,Priority
7439896,7439-89-6,Iron,Metal,,,,
7429905,7429-90-5,Aluminum,Metal,,,,
7439954,7439-95-4,Magnesium,Metal,,,,
1002535,1002-53-5,Dibutylstannane,Industrial,,,,
191242,191-24-2,benzo(ghi)peryleen,PAH,,,,
7440224,7440-22-4,Silver,Metal,,,,
7440666,7440-66-6,Zinc,Metal,,,,
7440508,7440-50-8,Copper,Metal,,,,
7440020,7440-02-0,Nickel,Metal,,,,WFD
2921882,2921-88-2,Chlorpyrifos,Pest,I,N,2020,WFD
115297,115-29-7,Endosulfan,Pest,I,N,NA,"WFD,STC"
7439965,7439-96-5,Manganese,Metal,,Y,,
205992,205-99-2,Benzo(b)fluorantheen,PAH,,Y,,
56553,56-55-3,Benzo(a)anthracene,PAH,,,,
7440326,7440-32-6,Titanium,Metal,,,,
7440382,7440-38-2,Arsenic,Metal,,,,
53703,53-70-3,"Dibenz(a,h)anthracene",PAH,,,,
7440622,7440-62-2,Vanadium,Metal,,,,
7440611,7440-61-1,uranium,Metal,,,,
138261413,138261-41-3,imidacloprid,Pest,I,N,2020,
83905015,83905-01-5,Azitromycin,Pharma,,Y,,
7440473,7440-47-3,Chromium,Metal,,,,
7440484,7440-48-4,Cobalt,Metal,,,,
64902723,64902-72-3,Chlorsulfuron,Pest,H,N,2019,
7440417,7440-41-7,beryllium,Metal,,,,
7439921,7439-92-1,Lead,Metal,,,,WFD
7439976,7439-97-6,Mercury,Metal,,,,WFD
5466773,5466-77-3,2-ethylhexyl 4-methoxycinnamate,Industrial,,Y,,
15687271,15687-27-1,Ibuprofen,Pharma,,Y,,
53167,53-16-7,estrone,Pharma,,Y,,
193395,193-39-5,indeno(123cd)pyreen,PAH,,,,
55389,55-38-9,Fenthion,Pest,I,N,NA,
207089,207-08-9,Benzo(k)fluorantheen,PAH,,,,
84852153,84852-15-3,"4-Nonylphenol, Branched",Industrial,,Y,,
7440439,7440-43-9,Cadmium,Metal,,,,WFD
7440428,7440-42-8,Boron,Metal,,,,
121755,121-75-5,Malathion,Pest,I,Y,,
16984488,16984-48-8,fluoride,Metal,,,,
7440280,7440-28-0,Thallium,Metal,,,,
137268,137-26-8,Thiram,Pest,F,N,NA,
84695,84-69-5,diisobutyl phthalate,Industrial,,,,
1563662,1563-66-2,Carbofuran,Pest,I,N,NA,
1333820,1333-82-0,Chromium oxide,Metal,,,,
114078,114-07-8,Erythromycin,Pharma,,Y,,
129000,129-00-0,Pyrene,PAH,,,,
50328,50-32-8,Benzo(a)pyreen,PAH,,,,
50282,50-28-2,estradiol,Pharma,,Y,,
81103119,81103-11-9,Klaritromycin,Pharma,,Y,,
7440393,7440-39-3,Barium,Metal,,,,
3380345,3380-34-5,Triclosan,Pharma,,Y,,
7440360,7440-36-0,Antimony,Metal,,,,
35554440,35554-44-0,Imazalil,Pest,F,Y,,
120127,120-12-7,Anthracene,PAH,,,,WFD
1806264,1806-26-4,Octylphenol,Industrial,,Y,,
333415,333-41-5,Diazinon,Pest,I,N,NA,
140669,140-66-9,"4-(1,1,3,3-Tetramethylbutyl)phenol",Industrial,,Y,,
117817,117-81-7,bis(2-ethylhexyl) phthalate,Industrial,,Y,,WFD
85687,85-68-7,benzyl butyl phthalate,Industrial,,Y,,
34123596,34123-59-6,Isoproturon,Pest,H,N,NA,WFD
330541,330-54-1,diuron,Pest,H,N,NA,WFD
206440,206-44-0,Fluoranthene,PAH,,,,WFD
15307865,15307-86-5,Diclofenac,Pharma,,Y,,
60004,60-00-4,edetic acid,Pharma,,Y,,
5915413,5915-41-3,Terbuthylazine,Pest,H,Y,,
40487421,40487-42-1,Pendimethalin,Pest,H,Y,,
122145,122-14-5,Fenitrothion,Pest,I,N,NA,
84742,84-74-2,dibutyl phthalate,Industrial,,Y,,
886500,886-50-0,Terbutryn,Pest,H,N,NA,WFD
210880925,210880-92-5,Clothianidin,Pest,I,Y,2019,
50293,50-29-3,DDT,Pest,I,N,NA,STC
28159980,28159-98-0,Irgarol,Industrial,,Y,,
