"","Type","Mix.type","Mix.type.OD","Solo.matchings","nAI.ED_NO","PLT_S_DART","PLT_S_DART.1","CLASSIFICATION","Type.mixture","AI_1.PLT_S_DART","AI_1.ED_NO","AI_2.PLT_S_DART","AI_2.PLT_S_DART.1","AI_2.ED_NO","AI_3.PLT_S_DART","AI_3.ED_NO","AI_4.PLT_S_DART","AI_4.ED_NO","variable","quotient","Exposure.Type","Time","Beta-cyfluthrin","Bifenthrin","Clothianidin","Deltamethrin","Endosulfan","Ethiprole","Etofenprox","Fenpropidin","Fipronil","Fluoxastrobin","Flupyradifurone","Imidacloprid","Isoflucypram","Lambda-cyhalothrin","Methamidophos","Methiocarb","Prothioconazole","Prochloraz","Spiromesifen","Spirotetramat","Spiroxamine","Tebuconazole","Tetraniliprole","Thiacloprid","Thiodicarb","Transfluthrin","Triadimenol","Alpha-cypermethrin","combo.name","N.combo","combo.S.name","3A","4A","2A","2B","G2","C3","4D","C2","1B","1A","G1","23","28","MoA.class.name","N.MoA.class","vsSCh","nAChR receptor agonist","GABA-A receptor","SBI: sterol biosynthesis","respiration (CIII, o-site)","respiration: SDH","AChE","DMI","ACCase inhibitor (I)","ryanodine receptor modulator","Label.class.name","N.Label.class","INS","FUN","combo.Type.name","N.combo.Type","log10Q"
"2683","Insecticide + Insecticide","SC (120+120)",FALSE,"SC48 + SC480","M-311049-01-1","SPT+TCP ","SPT+TCP","1",NA,"Spirotetramat SC 48 ","M-281729-01-1","thiacloprid SC 480","thiacloprid SC 480","M-002098-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.24",8.49,"oral","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Spirotetramat + Thiacloprid",2,"SPT + TCP",0,1,0,0,0,0,0,0,0,0,0,1,0,"4A + 23",2,0,1,0,0,0,0,0,0,1,0,"nAChR receptor agonist + ACCase inhibitor (I)",2,1,0,"INS + INS",1,0.928907690243953
"1715","Insecticide + Insecticide","SC (120+360)",FALSE,"SC200 + FS400","M-642607-01-1","TTP+TCP ","TTP+TCP","2",NA,"Tetraniliprole SC 200","M-438810-01-1","Thiacloprid FS 400","Thiacloprid FS 400","M-361379-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.48",7.79,"cont","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Tetraniliprole + Thiacloprid",2,"TTP + TCP",0,1,0,0,0,0,0,0,0,0,0,0,1,"4A + 28",2,0,1,0,0,0,0,0,0,0,1,"nAChR receptor agonist + ryanodine receptor modulator",2,1,0,"INS + INS",1,0.891537457672565
"2759","Insecticide + Insecticide","SC (120+120)",FALSE,"SC48 + SC480","M-311049-01-1","SPT+TCP ","SPT+TCP","1",NA,"Spirotetramat SC 48 ","M-281729-01-1","thiacloprid SC 480","thiacloprid SC 480","M-002098-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",7.43,"oral","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Spirotetramat + Thiacloprid",2,"SPT + TCP",0,1,0,0,0,0,0,0,0,0,0,1,0,"4A + 23",2,0,1,0,0,0,0,0,0,1,0,"nAChR receptor agonist + ACCase inhibitor (I)",2,1,0,"INS + INS",1,0.870988813760575
"2762","Insecticide + Insecticide","OD (120+120)",TRUE,"OD150 + OD180","M-310715-01-1","SPT+TCP ","SPT+TCP","1",NA,"spirotetramat OD 150 G","M-259122-01-1","thiacloprid OD 180 G","thiacloprid OD 180 G","M-272691-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",6.19,"oral","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Spirotetramat + Thiacloprid",2,"SPT + TCP",0,1,0,0,0,0,0,0,0,0,0,1,0,"4A + 23",2,0,1,0,0,0,0,0,0,1,0,"nAChR receptor agonist + ACCase inhibitor (I)",2,1,0,"INS + INS",1,0.791690649020118
"2686","Insecticide + Insecticide","OD (120+120)",TRUE,"OD150 + OD180","M-310715-01-1","SPT+TCP ","SPT+TCP","1",NA,"spirotetramat OD 150 G","M-259122-01-1","thiacloprid OD 180 G","thiacloprid OD 180 G","M-272691-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.24",5.69,"oral","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"Spirotetramat + Thiacloprid",2,"SPT + TCP",0,1,0,0,0,0,0,0,0,0,0,1,0,"4A + 23",2,0,1,0,0,0,0,0,0,1,0,"nAChR receptor agonist + ACCase inhibitor (I)",2,1,0,"INS + INS",1,0.755112266395071
"1664","Insecticide + Fungicide","EC 250 & EC 30",FALSE,"EC250 & EC30","M-360053-01-1","PTZ & Etofenprox ","PTZ&ETF","1","Tank mix","prothioconazole EC 250 G","M-182441-01-1","Etofen 30 EC","Etofen 30 EC","M-359277-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.24",4.57,"cont","24",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Etofenprox + Prothioconazole",2,"ETF + PTZ",1,0,0,0,0,0,0,0,0,0,1,0,0,"3A + G1",2,1,0,0,0,0,0,0,1,0,0,"vsSCh + DMI",2,1,1,"INS + FUN",2,0.65991620006985
"1740","Insecticide + Fungicide","EC 250 & EC 30",FALSE,"EC250 & EC30","M-360053-01-1","PTZ & Etofenprox ","PTZ&ETF","1","Tank mix","prothioconazole EC 250 G","M-182441-01-1","Etofen 30 EC","Etofen 30 EC","M-359277-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.48",4.5,"cont","48",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Etofenprox + Prothioconazole",2,"ETF + PTZ",1,0,0,0,0,0,0,0,0,0,1,0,0,"3A + G1",2,1,0,0,0,0,0,0,1,0,0,"vsSCh + DMI",2,1,1,"INS + FUN",2,0.653212513775344
"2776","Insecticide + Insecticide","SC (240+120)",FALSE,"SC48 + SC200","M-685942-01-1","SPT+TTP + MERO","SPT+TTP+MERO","1",NA,"Spirotetramat SC 48 ","M-281729-01-1","Tetraniliprole SC 200","Tetraniliprole SC 200","M-438810-01-1",NA,NA,NA,NA,"Ratio.LD50.oral.48",4.12,"oral","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Spirotetramat + Tetraniliprole",2,"SPT + TTP",0,0,0,0,0,0,0,0,0,0,0,1,1,"23 + 28",2,0,0,0,0,0,0,0,0,1,1,"ACCase inhibitor (I) + ryanodine receptor modulator",2,1,0,"INS + INS",1,0.614897216033135
"1666","Insecticide + Fungicide","EW 250 & OD 240",TRUE,"EW250 & OD240","M-103547-01-1","TBZ & TCP ","TBZ&TCP","1","Tank mix","tebuconazole EW 250 G ","M-182469-01-1","thiacloprid OD 240 G","thiacloprid OD 240 G","M-103506-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.24",3.88,"cont","24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Tebuconazole + Thiacloprid",2,"TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.588831725594207
"1742","Insecticide + Fungicide","EW 250 & OD 240",TRUE,"EW250 & OD240","M-103547-01-1","TBZ & TCP ","TBZ&TCP","1","Tank mix","tebuconazole EW 250 G ","M-182469-01-1","thiacloprid OD 240 G","thiacloprid OD 240 G","M-103506-01-1",NA,NA,NA,NA,"Ratio.LD50.cont.48",3.69,"cont","48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Tebuconazole + Thiacloprid",2,"TBZ + TCP",0,1,0,0,0,0,0,0,0,0,1,0,0,"4A + G1",2,0,1,0,0,0,0,0,1,0,0,"nAChR receptor agonist + DMI",2,1,1,"INS + FUN",2,0.56702636615906
