Type,PLT_S_DART,PLT_S_DART.1,Mix.type,Mix.type.OD,Solo.matchings,CLASSIFICATION,nAI.ED_NO,AI_1.Amount,AI_2.Amount,AI_3.Amount,AI_4.Amount,AI_1.Proportion,AI_2.Proportion,AI_3.Proportion,AI_4.Proportion,Density.mixture,Type.mixture,AI_1.PLT_S_DART,AI_1.ED_NO,AI_2.PLT_S_DART,AI_2.PLT_S_DART.1,AI_2.ED_NO,AI_3.PLT_S_DART,AI_3.ED_NO,AI_4.PLT_S_DART,AI_4.ED_NO,nAI.LD50.cont.24,nAI.LD50.cont.48,AI_1.LD50.cont.24,AI_1.LD50.cont.48,AI_2.LD50.cont.24,AI_2.LD50.cont.48,AI_3.LD50.cont.24,AI_3.LD50.cont.48,AI_4.LD50.cont.24,AI_4.LD50.cont.48,nAI.PRED.LD50.cont.24,nAI.PRED.LD50.cont.48,Ratio.LD50.cont.24,Ratio.LD50.cont.48,nAI.LD50.oral.24,nAI.LD50.oral.48,AI_1.LD50.oral.24,AI_1.LD50.oral.48,AI_2.LD50.oral.24,AI_2.LD50.oral.48,AI_3.LD50.oral.24,AI_3.LD50.oral.48,AI_4.LD50.oral.24,AI_4.LD50.oral.48,nAI.PRED.LD50.oral.24,nAI.PRED.LD50.oral.48,Ratio.LD50.oral.24,Ratio.LD50.oral.48
fungicide,TBZ+PCZ,TBZ+PCZ,EC (200+300),0.0,EW250 + EC450,2,NUFARM,200,300,,,0.2000,0.3000,,,1.000,,tebuconazole EW 250 G,M-182469-01-1,Sportak 450 EC ,Prochloraz 450 EC ,M-418500-01-1,-,-,-,-,n.d.,211.50,56.16,47.80,112.50,53.75,-,-,-,-,-,102.40,-,0.48,n.d.,43.09,96.80,78.80,n.a.,n.a.,-,-,-,-,-,-,-,-
fungicide,PTZ+SPX ,PTZ+SPX,EC (160 + 300),0.00,EC250 + EC500,1,M-074353-01-1,160,300,,,0.1626,0.3049,,,0.984,,prothioconazole EC 250 G,M-182441-01-1,spiroxamine EC 500 G,spiroxamine EC 500 G,M-680761-01-1,-,-,-,-,383.00,420.00,132.01,116.20,102.90,61.10,-,-,-,-,238.40,156.52,0.62,0.37,368.00,346.00,124.22,105.90,84.30,84.30,-,-,-,-,203.02,194.10,0.55,0.56
fungicide,SPX+TBZ ,SPX+TBZ,EW (250+133),0,EW250 + EC500,2,not yet in DART,250,133,,,0.2500,0.1330,,,1.000,,tebuconazole EW 250,M-182469-01-1,spiroxamine EC 500 G,spiroxamine EC 500 G,M-680761-01-1,-,-,-,-,305.00,208.00,102.90,61.10,56.12,47.76,-,-,-,-,208.36,145.42,0.68,0.70,> 100,110.0,84.30,84.30,96.80,78.80,-,-,-,-,-,214.90,-,1.95
fungicide,FXA+PTZ ,FXA+PTZ,EC (100+100),0,EC100 + EC250,1,M-080740-01-1,100,100,,,0.0877,0.0877,,,1.140,,Fluoxastrobin EC 100,M-068973-01-1,prothioconazole EC 250 G,prothioconazole EC 250 G,M-182441-01-1,-,-,-,-,268.94,248.07,37.80,29.70,132.01,116.20,-,-,-,-,335.00,269.66,1.25,1.09,> 115.93,> 115.93,34.00,25.50,124.22,105.90,-,-,-,-,-,-,-,-
fungicide,TBZ+TDL ,TBZ+TDL,EC (225+75),0.00,EW250 + EC250,2,M-278423-01-1,225,75,,,0.2250,0.0750,,,1.000,,tebuconazole EW 250 G,M-182469-01-1,triadimenol EC 250,triadimenol EC 250,M-080267-01-1,-,-,-,-,352.80,303.20,56.16,47.80,> 200,> 200,-,-,-,-,-,-,-,-,545.10,527.00,96.80,78.8,69.20,64.40,-,-,-,-,294.89,250.00,0.54,0.47
fungicide,PTZ+TBZ ,PTZ+TBZ,EC (125+125),0,EC250 + EW250,2,M-059368-01-1,125,125,,,0.1250,0.1250,,,1.000,,prothioconazole EC 250 G,M-182441-01-1,tebuconazole EW 250 G,tebuconazole EW 250 G,M-182469-01-1,-,-,-,-,n.d.,339.57,132.01,116.20,56.16,47.80,-,-,-,-,-,270.94,-,0.80,> 484.31,> 484.31,124.22,105.90,96.80,78.80,-,-,-,-,-,-,-,-
fungicide,FPD+TBZ,FPD+TBZ,EC (300+200),0,EW250 + TGAI,3,M-018696-01-1,300,200,,,0.3000,0.2000,,,1.000,,fenpropidin,Internet,tebuconazole EW 250 G,tebuconazole EW 250 G,M-182469-01-1,-,-,-,-,> 200,> 200,n.a.,47.00,56.16,47.80,-,-,-,-,-,-,-,-,203.00,193.00,n.a.,84.00,96.80,78.80,-,-,-,-,-,161.60,-,0.84
fungicide,ISY+PTZ ,ISY+PTZ,EC (50+150),0.00,EC50 + EC250,1,M-665091-01-1,50,150,,,0.0496,0.1488,,,1.008,,Isoflucypram EC 50,M-571280-01-1,Prothioconazole EC 250,Prothioconazole EC 250,M-182441-01-1,-,-,-,-,564.50,373.30,36.80,25.70,132.03,116.22,-,-,-,-,404.04,311.47,0.72,0.83,323.70,310.90,74.8,69.1,124.25,105.92,-,-,-,-,537.39,471.09,1.66,1.52
fungicide,FXA+PTZ ,FXA+PTZ,EC (50+100),0.00,EC100 + EC250,1,M-611011-01-1,50,100,,,0.0442,0.0884,,,1.131,,Fluoxastrobin EC 100,M-068973-01-1,prothioconazole EC 250 ,prothioconazole EC 250 ,M-182441-01-1,-,-,-,-,n.d.,771.10,37.80,29.70,132.03,116.22,-,-,-,-,-,444.58,-,0.58,> 533.5,> 533.5,34.00,25.50,124.20,105.92,-,-,-,-,-,-,-,-
fungicide,ISY+PTZ ,ISY+PTZ,EC (50+100),0.00,EC50 + EC250,1,M-599934-01-1,50,100,,,0.0503,0.1005,,,0.995,,Isoflucypram EC 50,M-571280-01-1,Prothioconazole EC 250,Prothioconazole EC 250,M-182441-01-1,-,-,-,-,> 840,785.30,36.80,25.70,132.03,116.22,-,-,-,-,-,354.60,-,0.45,> 1062.3,> 1062.3,74.80,69.10,124.25,105.92,-,-,-,-,-,-,-,-
